ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,31,07/26/2020,08/01/2020,9,116,61,790.5,189,1901,1288,12954,0.0,0.1,0,5,0.0,34.1,14675,60601-31,POINT (-87.622844 41.886262)
60601,30,07/19/2020,07/25/2020,8,107,54,729.1,201,1712,1370,11666.1,0.0,0.1,0,5,0.0,34.1,14675,60601-30,POINT (-87.622844 41.886262)
60603,39,09/20/2020,09/26/2020,0,13,0,1107.3,24,327,2044,27853.5,0.0,0.0,0,0,0.0,0.0,1174,60603-39,POINT (-87.625473 41.880112)
60611,16,04/12/2020,04/18/2020,8,72,25,222,101,450,312,1387.8,0.1,0.2,0,0,0.0,0.0,32426,60611-16,POINT (-87.620291 41.894734)
60610,17,04/19/2020,04/25/2020,22,134,56,343.4,149,638,382,1635.1,0.1,0.2,2,3,5.1,7.7,39019,60610-17,POINT (-87.63581 41.90455)
60610,23,05/31/2020,06/06/2020,11,260,28,666.3,280,2226,718,5704.9,0.0,0.1,1,7,2.6,17.9,39019,60610-23,POINT (-87.63581 41.90455)
60610,25,06/14/2020,06/20/2020,9,275,23,704.8,343,2891,879,7409.2,0.0,0.1,1,9,2.6,23.1,39019,60610-25,POINT (-87.63581 41.90455)
60611,15,04/05/2020,04/11/2020,7,64,22,197.4,59,349,182,1076.3,0.1,0.2,0,0,0.0,0.0,32426,60611-15,POINT (-87.620291 41.894734)
60610,26,06/21/2020,06/27/2020,26,301,67,771.4,477,3368,1222,8631.7,0.1,0.1,0,9,0.0,23.1,39019,60610-26,POINT (-87.63581 41.90455)
60610,27,06/28/2020,07/04/2020,22,323,56,827.8,482,3850,1235,9867,0.0,0.1,0,9,0.0,23.1,39019,60610-27,POINT (-87.63581 41.90455)
60610,28,07/05/2020,07/11/2020,27,350,69,897,604,4454,1548,11415,0.0,0.1,1,10,2.6,25.6,39019,60610-28,POINT (-87.63581 41.90455)
60612,22,05/24/2020,05/30/2020,26,671,76,1955.6,298,2920,868,8510.4,0.1,0.2,2,24,5.8,69.9,34311,60612-22,POINT (-87.687011 41.88004)
60612,23,05/31/2020,06/06/2020,24,695,70,2025.6,224,3144,653,9163.2,0.1,0.2,0,24,0.0,69.9,34311,60612-23,POINT (-87.687011 41.88004)
60612,24,06/07/2020,06/13/2020,12,707,35,2060.6,390,3534,1137,10299.9,0.0,0.2,1,25,2.9,72.9,34311,60612-24,POINT (-87.687011 41.88004)
60612,25,06/14/2020,06/20/2020,7,714,20,2081,279,3813,813,11113.1,0.0,0.2,0,25,0.0,72.9,34311,60612-25,POINT (-87.687011 41.88004)
60613,18,04/26/2020,05/02/2020,66,285,132,568.7,262,1066,523,2127.2,0.3,0.3,1,12,2.0,23.9,50113,60613-18,POINT (-87.661343 41.953742)
60613,19,05/03/2020,05/09/2020,31,316,62,630.6,213,1279,425,2552.2,0.1,0.2,8,20,16.0,39.9,50113,60613-19,POINT (-87.661343 41.953742)
60613,20,05/10/2020,05/16/2020,13,329,26,656.5,237,1516,473,3025.2,0.1,0.2,3,23,6.0,45.9,50113,60613-20,POINT (-87.661343 41.953742)
60616,23,05/31/2020,06/06/2020,18,445,33,817.1,269,3115,494,5719.4,0.1,0.1,0,33,0.0,60.6,54464,60616-23,POINT (-87.629531 41.844869)
60615,11,03/08/2020,03/14/2020,,,,,6,9,14,21.7,,,0,0,0.0,0.0,41563,60615-11,POINT (-87.602725 41.801993)
60616,24,06/07/2020,06/13/2020,11,456,20,837.3,529,3644,971,6690.7,0.0,0.1,2,35,3.7,64.3,54464,60616-24,POINT (-87.629531 41.844869)
60603,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,1174,60603-10,POINT (-87.625473 41.880112)
60603,11,03/08/2020,03/14/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,1174,60603-11,POINT (-87.625473 41.880112)
60603,12,03/15/2020,03/21/2020,,,,,1,1,85,85.2,,,0,0,0.0,0.0,1174,60603-12,POINT (-87.625473 41.880112)
60603,13,03/22/2020,03/28/2020,,,,,3,4,256,340.7,,,0,0,0.0,0.0,1174,60603-13,POINT (-87.625473 41.880112)
60603,14,03/29/2020,04/04/2020,,,,,4,8,341,681.4,,,0,0,0.0,0.0,1174,60603-14,POINT (-87.625473 41.880112)
60603,15,04/05/2020,04/11/2020,,,,,5,13,426,1107.3,,,0,0,0.0,0.0,1174,60603-15,POINT (-87.625473 41.880112)
60604,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,782,60604-10,POINT (-87.629029 41.878153)
60604,11,03/08/2020,03/14/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,782,60604-11,POINT (-87.629029 41.878153)
60604,12,03/15/2020,03/21/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,782,60604-12,POINT (-87.629029 41.878153)
60604,13,03/22/2020,03/28/2020,,,,,7,7,895,895.1,,,0,0,0.0,0.0,782,60604-13,POINT (-87.629029 41.878153)
60604,14,03/29/2020,04/04/2020,,,,,3,10,384,1278.8,,,0,0,0.0,0.0,782,60604-14,POINT (-87.629029 41.878153)
60604,16,04/12/2020,04/18/2020,,,,,3,14,384,1790.3,,,0,0,0.0,0.0,782,60604-16,POINT (-87.629029 41.878153)
60604,17,04/19/2020,04/25/2020,2,6,256,767.3,10,24,1279,3069.1,0.2,0.2,0,0,0.0,0.0,782,60604-17,POINT (-87.629029 41.878153)
60604,18,04/26/2020,05/02/2020,5,11,639,1406.6,14,38,1790,4859.3,0.4,0.3,0,0,0.0,0.0,782,60604-18,POINT (-87.629029 41.878153)
60604,19,05/03/2020,05/09/2020,3,14,384,1790.3,12,50,1534,6393.9,0.2,0.3,0,0,0.0,0.0,782,60604-19,POINT (-87.629029 41.878153)
60604,20,05/10/2020,05/16/2020,3,17,384,2173.9,13,63,1662,8056.3,0.2,0.3,0,0,0.0,0.0,782,60604-20,POINT (-87.629029 41.878153)
60603,31,07/26/2020,08/01/2020,0,9,0,766.6,20,203,1704,17291.3,0.0,0.0,0,0,0.0,0.0,1174,60603-31,POINT (-87.625473 41.880112)
60603,34,08/16/2020,08/22/2020,0,11,0,937,13,247,1107,21039.2,0.0,0.0,0,0,0.0,0.0,1174,60603-34,POINT (-87.625473 41.880112)
60604,22,05/24/2020,05/30/2020,2,22,256,2813.3,17,91,2174,11636.8,0.1,0.2,0,0,0.0,0.0,782,60604-22,POINT (-87.629029 41.878153)
60604,23,05/31/2020,06/06/2020,1,23,128,2941.2,8,99,1023,12659.8,0.1,0.2,0,0,0.0,0.0,782,60604-23,POINT (-87.629029 41.878153)
60604,24,06/07/2020,06/13/2020,1,24,128,3069.1,6,105,767,13427.1,0.2,0.2,0,0,0.0,0.0,782,60604-24,POINT (-87.629029 41.878153)
60604,25,06/14/2020,06/20/2020,0,24,0,3069.1,13,118,1662,15089.5,0.0,0.2,0,0,0.0,0.0,782,60604-25,POINT (-87.629029 41.878153)
60605,11,03/08/2020,03/14/2020,,,,,19,19,69,69,,,0,0,0.0,0.0,27519,60605-11,POINT (-87.623449 41.867824)
60601,19,05/03/2020,05/09/2020,7,63,48,429.3,75,368,511,2507.7,0.1,0.2,1,4,6.8,27.3,14675,60601-19,POINT (-87.622844 41.886262)
60601,33,08/09/2020,08/15/2020,8,128,54,872.2,215,2300,1465,15672.9,0.0,0.1,0,5,0.0,34.1,14675,60601-33,POINT (-87.622844 41.886262)
60601,39,09/20/2020,09/26/2020,8,212,54,1444.6,202,4299,1376,29294.7,0.0,0.0,1,6,6.8,40.9,14675,60601-39,POINT (-87.622844 41.886262)
60602,39,09/20/2020,09/26/2020,0,21,0,1688.1,27,460,2170,36977.5,0.0,0.0,0,0,0.0,0.0,1244,60602-39,POINT (-87.628309 41.883136)
60601,32,08/02/2020,08/08/2020,4,120,27,817.7,184,2085,1254,14207.8,0.0,0.1,0,5,0.0,34.1,14675,60601-32,POINT (-87.622844 41.886262)
60605,12,03/15/2020,03/21/2020,20,23,73,83.6,79,98,287,356.1,0.3,0.2,0,0,0.0,0.0,27519,60605-12,POINT (-87.623449 41.867824)
60605,15,04/05/2020,04/11/2020,13,65,47,236.2,80,323,291,1173.7,0.2,0.2,0,0,0.0,0.0,27519,60605-15,POINT (-87.623449 41.867824)
60605,16,04/12/2020,04/18/2020,28,93,102,337.9,104,427,378,1551.7,0.3,0.2,0,0,0.0,0.0,27519,60605-16,POINT (-87.623449 41.867824)
60601,40,09/27/2020,10/03/2020,4,216,27,1471.9,218,4517,1486,30780.2,0.0,0.0,0,6,0.0,40.9,14675,60601-40,POINT (-87.622844 41.886262)
60604,28,07/05/2020,07/11/2020,0,25,0,3196.9,20,166,2558,21227.6,0.0,0.2,0,0,0.0,0.0,782,60604-28,POINT (-87.629029 41.878153)
60604,29,07/12/2020,07/18/2020,0,25,0,3196.9,9,175,1151,22378.5,0.0,0.1,0,0,0.0,0.0,782,60604-29,POINT (-87.629029 41.878153)
60604,34,08/16/2020,08/22/2020,4,29,512,3708.4,20,262,2558,33503.8,0.2,0.1,0,0,0.0,0.0,782,60604-34,POINT (-87.629029 41.878153)
60609,17,04/19/2020,04/25/2020,222,562,361,913.9,503,1325,818,2154.6,0.4,0.4,8,18,13.0,29.3,61495,60609-17,POINT (-87.653382 41.812017)
60609,18,04/26/2020,05/02/2020,301,863,490,1403.4,676,2001,1099,3253.9,0.4,0.4,6,24,9.8,39.0,61495,60609-18,POINT (-87.653382 41.812017)
60610,15,04/05/2020,04/11/2020,15,97,38,248.6,96,377,246,966.2,0.2,0.3,1,1,2.6,2.6,39019,60610-15,POINT (-87.63581 41.90455)
60604,39,09/20/2020,09/26/2020,0,31,0,3964.2,12,338,1534,43222.5,0.0,0.1,0,0,0.0,0.0,782,60604-39,POINT (-87.629029 41.878153)
60605,39,09/20/2020,09/26/2020,12,391,44,1420.8,290,7155,1054,26000.2,0.0,0.1,1,3,3.6,10.9,27519,60605-39,POINT (-87.623449 41.867824)
60606,40,09/27/2020,10/03/2020,5,76,161,2450.8,83,1994,2677,64301.8,0.1,0.0,0,1,0.0,32.2,3101,60606-40,POINT (-87.63676 41.882634)
60607,25,06/14/2020,06/20/2020,11,464,37,1568,286,2453,966,8289.7,0.0,0.2,0,4,0.0,13.5,29591,60607-25,POINT (-87.652727 41.876104)
60607,26,06/21/2020,06/27/2020,15,479,51,1618.7,305,2758,1031,9320.4,0.0,0.2,0,4,0.0,13.5,29591,60607-26,POINT (-87.652727 41.876104)
60607,27,06/28/2020,07/04/2020,8,487,27,1645.8,327,3085,1105,10425.5,0.0,0.2,0,4,0.0,13.5,29591,60607-27,POINT (-87.652727 41.876104)
60607,28,07/05/2020,07/11/2020,16,503,54,1699.8,425,3510,1436,11861.7,0.0,0.1,0,4,0.0,13.5,29591,60607-28,POINT (-87.652727 41.876104)
60607,29,07/12/2020,07/18/2020,14,517,47,1747.2,454,3964,1534,13396,0.0,0.1,0,4,0.0,13.5,29591,60607-29,POINT (-87.652727 41.876104)
60629,10,03/01/2020,03/07/2020,,,,,2,2,2,1.8,,,0,0,0.0,0.0,111850,60629-10,POINT (-87.711565 41.777061)
60607,30,07/19/2020,07/25/2020,13,530,44,1791.1,426,4390,1440,14835.6,0.0,0.1,0,4,0.0,13.5,29591,60607-30,POINT (-87.652727 41.876104)
60607,31,07/26/2020,08/01/2020,16,546,54,1845.2,386,4776,1304,16140,0.0,0.1,0,4,0.0,13.5,29591,60607-31,POINT (-87.652727 41.876104)
