ZIP Code,Ward,Police District,Latitude,Longitude
60608,25,10,41.85218729,-87.66775694
60647,1,14,41.91041094,-87.68889915
60601,42,1,41.88549078,-87.63082227
60649,5,3,41.76581642,-87.57614548
60615,4,2,41.79529732,-87.58782256
60660,48,24,41.99304518,-87.66021355
60643,19,22,41.67798852,-87.68057984
60609,3,2,41.79623488,-87.63040492
60629,13,8,41.78604516,-87.72302643
60654,42,18,41.89363229,-87.63103001
60614,43,18,41.91120047,-87.63456506
60657,44,19,41.93285982,-87.64473246
60601,42,1,41.88452436,-87.62776455
60629,15,8,41.77842134,-87.70297606
60657,44,19,41.93769388,-87.64934142
60654,42,18,41.89363229,-87.63103001
60660,48,20,41.98425875,-87.66086972
60647,32,14,41.91060814,-87.67757728
60617,10,4,41.70262669,-87.53601472
60647,1,14,41.91766694,-87.68853418
60613,46,19,41.95438385,-87.65419529
60618,47,19,41.94296486,-87.68832147
60649,5,4,41.75739621,-87.58625101
60612,2,13,41.8812841,-87.68562042
60611,42,18,41.89029965,-87.62425466
60609,3,9,41.81117574,-87.63328114
60602,42,1,41.88275463,-87.62453528
60626,49,24,42.01632849,-87.67539827
60614,43,18,41.91120047,-87.63456506
60609,3,9,41.80881504,-87.64568295
60657,44,19,41.93769388,-87.64934142
60603,42,1,41.87956244,-87.6283392
60623,22,10,41.84414469,-87.72477825
60623,12,10,41.84446925,-87.70193021
60643,34,5,41.68495486,-87.64347112
60614,43,18,41.91120047,-87.63456506
60638,23,8,41.79867203,-87.74359878
60656,41,16,41.97538461,-87.80694898
60638,23,8,41.79591839,-87.76178079
60618,33,17,41.95381203,-87.7077171
60619,6,6,41.7580961,-87.62420813
60640,46,19,41.96536653,-87.65176024
60606,2,1,41.87813818,-87.637065
60629,13,8,41.76458961,-87.7222396
60631,41,16,42.01152314,-87.81842224
60641,39,17,41.95353736,-87.72769519
60644,28,15,41.8804685,-87.756134
60649,5,3,41.76592995,-87.58000943
60640,46,19,41.96536653,-87.65176024
60640,47,19,41.96536418,-87.66787952
60620,18,8,41.75006036,-87.68269913
60617,7,4,41.72833654,-87.55286024
60614,32,19,41.92528231,-87.66661708
60641,45,16,41.95467941,-87.74748532
60638,23,8,41.79867203,-87.74359878
60610,42,18,41.90003788,-87.62814585
60610,42,18,41.90401478,-87.63013572
60651,37,15,41.89496969,-87.76440077
60625,40,20,41.97576,-87.69249406
60618,47,19,41.94296486,-87.68832147
60651,37,15,41.89496969,-87.76440077
60660,48,20,41.98425875,-87.66086972
60643,19,22,41.70626826,-87.68097506
60652,18,8,41.74969024,-87.72123627
60637,5,3,41.77230508,-87.58740138
60620,21,22,41.7299276,-87.66274575
60616,4,2,41.8326245,-87.6168411
60616,25,9,41.8529915,-87.63554385
60643,19,22,41.70927502,-87.67003299
60617,10,4,41.70262669,-87.53601472
60623,12,10,41.84446925,-87.70193021
60631,41,16,42.01152314,-87.81842224
60606,42,1,41.88457398,-87.63508283
60610,42,18,41.90003788,-87.62814585
60634,38,16,41.93865914,-87.76855864
60651,37,15,41.89496969,-87.76440077
60617,7,4,41.72236398,-87.57489877
60626,49,24,42.01632849,-87.67539827
60647,32,14,41.91060814,-87.67757728
60659,40,20,41.99029969,-87.70513321
60612,2,13,41.8812841,-87.68562042
60657,44,19,41.93980098,-87.65416109
60618,33,17,41.95381203,-87.7077171
60638,23,8,41.79591839,-87.76178079
60607,2,1,41.86714316,-87.63929317
60616,4,2,41.8326245,-87.6168411
60620,21,6,41.75038047,-87.65429993
60644,28,15,41.8804685,-87.756134
60621,16,7,41.77990486,-87.64185815
60649,8,4,41.75150394,-87.57532855
60649,5,3,41.76581642,-87.57614548
60634,38,16,41.93865914,-87.76855864
60621,20,7,41.77847294,-87.64460838
60606,2,1,41.88183547,-87.63389739
60632,14,8,41.80777906,-87.72284695
60628,9,5,41.68913818,-87.62086262
60628,9,5,41.70718218,-87.62036149
60632,12,9,41.82440547,-87.71160875
60620,21,22,41.72194754,-87.64337198
60645,50,24,42.01801744,-87.69033737
60656,41,16,41.97538461,-87.80694898
60634,38,16,41.95997195,-87.76707886
60639,30,25,41.9240902,-87.76605353
60647,35,14,41.93160795,-87.69775578
60630,39,17,41.96834599,-87.72851802
60637,5,3,41.77230508,-87.58740138
60609,3,2,41.80181109,-87.63056018
60639,31,25,41.92579049,-87.74869168
60609,3,9,41.80870195,-87.66558301
60619,6,6,41.7580961,-87.62420813
60617,10,4,41.68085614,-87.5399566
60634,38,16,41.95854835,-87.78691899
60660,48,24,41.99304518,-87.66021355
60639,31,25,41.92411902,-87.74703214
60618,33,17,41.94808109,-87.70771258
60632,14,9,41.79438342,-87.7034374
60649,5,4,41.75739621,-87.58625101
60638,23,8,41.79591839,-87.76178079
60606,2,1,41.87813818,-87.637065
60611,42,18,41.89114733,-87.61839727
60608,25,10,41.8520837,-87.67465102
60617,10,4,41.70262669,-87.53601472
60639,30,25,41.9240902,-87.76605353
60655,19,22,41.69166492,-87.70175367
60625,40,20,41.97576,-87.69249406
